lat,lng
51.5,-0.2
51.7,39.2
48,37.8
34.8,113.7
55,73.4
24.8,121
50,36.3
52.2,21
30.7,104.1
51.7,36.2
23.5,121
47.9,35.3
26.6,106.7
51.7,55.4
25,121.5
55.8,37.6
55.7,37.6
51.2,58.3
23.1,113.3
24.1,120.7
23.5,121
56.9,35.9
36.7,117
22.5,114.1
32.1,118.8
23.5,121
49.8,6.2
23.5,121
40.6,122.5
55,73.4
17.4,78.5
32.1,34.8
50.6,36.6
51.7,39.2
23.5,121
51.7,55.4
51.7,39.2
48,68
52.2,21
53,36.1
23.1,113.3
51.7,36.2
22.3,114.2
53,36.1
39.9,116.4
22.6,120.4
32.1,118.8
23.1,113.3
53.5,49.3
55.7,37.6
50.5,30.5
53.1,36.2
-26.1,28.1
57.8,40.9
34.8,113.7
51.5,46
52.4,4.9
23.5,121
23.5,121
23.5,121
43.2,-79.7
23.5,121
51.7,55.4
25,121.5
37.5,121.4
48.6,45.7
24.1,120.5
23.5,121
55.7,37.6
37.5,127
49.1,-122.8
37.5,127
53.2,50.1
11.2,78.2
45.3,-73.9
23.1,113.3
37.8,128.9
40.5,-74.2
59.9,30.3
17.4,78.5
50,36.3
35.7,51.4
23.5,121
56.7,37.2
36.7,117
34.8,113.7
23.5,121
55.8,37.6
24.8,121
39.9,116.4
48.9,2.3
51.3,37.8
50.6,36.6
32.1,118.8
30.7,104.1
36.1,-86.9
13.8,100.5
55.8,37.6
50.6,36.6
50,36.3
41,29
53.2,-4.1
23.5,121
52.8,52.3
-6.2,-38.9
52.2,21
-53.8,-67.7
51.7,36.2
22.8,108.3
36.7,117
23.1,113.3
55.7,37.6
23.5,121
59.9,30.3
13.8,100.5
34.9,137
51.8,55.1
51.7,39.2
23.5,121
50.3,127.5
45.5,-73.6
14.6,121.1
55,50.1
55.7,37.6
51.9,0.9
33,-96.7
54,86.7
55.2,61.4
22.6,120.3
52.8,52.3
52.8,52.3
23.5,121
55.7,37.6
18.5,73.9
45.5,-73.6
39.9,116.4
23.5,121
37.5,127
-17.4,-66.1
51.7,55.4
50.4,30.5
23.5,121
55.8,37.6
45.5,-73.6
54.6,39.7
22.3,114.2
51.2,58.3
44.2,42.1
-0.2,-78.5
51.2,58.3
51.2,58.3
22.5,114.1
55,73.4
55.7,37.6
25,121.5
50.6,36.6
55.2,61.4
53,36.1
52.2,21
48.7,38.1
50.4,30.5
53.7,91.4
48.9,2.3
37.5,127
47.2,39.7
37.5,127
45.1,7.7
24.1,120.7
55.7,37.6
42.5,14.2
